bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr	orig
60b7e6054b0add7bb300bf82	0.0012103365384615	0.0157494982692307	0	38.44327228173913	1.2167484221739135	0.9912472455555552	0.4069365025265065	7779.50732421875	0.1114960681546282	18.0	8.653846153846153	1.858712007612621	1.737987834252564	1.9774601885852996	1.860688	0.0067515	-0.0111251166090369	0.0128140356391668	208.0	88.0	88.0	63.0	5.615425059422987	2.0	2.500000238418579	2.499999761581421	2.5	61.83834871320192	2.893925389030765	10.565229415893556	3.884615421295166	367057.0	1.4134615659713743	38.79423141479498	22.372478485107425	3.104120434424092	55.91122450800673	344.2158508300781	339.423095703125	57957.0	260.9375	442.3807983398437	60.44425201416016	41.18347795144655	fetch
609304ecc5da832d6e1468b4	0.001003798076923	0.0113229698557692	0	39.62065771362319	1.194649945652174	0.9996762509661832	0.4261545662623642	6811.73681640625	0.1302339082375177	37.0	17.78846153846154	1.807504	1.684104	1.91846	1.819948	0.0125754	-0.0102609591558575	0.0175164733082056	208.0	88.0	88.0	63.0	4.399944383981406	2.0	2.5	2.5	2.5	43.30846859760802	2.8582859534105247	10.400774002075195	3.826923131942749	355449.0	1.2932692766189575	38.45673370361328	21.563127517700195	3.595322718015944	57.15859574097734	325.11798095703125	312.625	67231.0	241.13462829589844	449.5120391845703	71.05150604248047	42.11715653538704	fetch
608b51adc5da832d6e1464fd	0.001003798076923	0.0113229698557692	0	39.62065771362319	1.194649945652174	0.9996762575845404	0.4261545662623642	6811.73681640625	0.1302339082375177	37.0	17.78846153846154	1.807504	1.684104	1.91846	1.819948	0.0125754	-0.0102609591558575	0.0175164733082056	208.0	88.0	88.0	63.0	4.399944383981406	2.0	2.5	2.5	2.5	43.30846859760802	2.8582859534105247	10.400774002075195	3.826923131942749	355449.0	1.2932692766189575	38.45673370361328	21.563127517700195	3.595322718015944	57.15859574097734	325.11798095703125	312.625	67231.0	241.13462829589844	449.5120391845703	71.05150604248047	42.11715653538704	fetch
60327c8904e712e94a02498c	0.0001756620209059	0.0100732554703832	2	31.13247983917974	1.2895673669633507	0.9913388045898788	0.5386080474223134	2558.190673828125	0.1193526252194243	2.0	0.3484320557491289	1.7382893333333334	1.629308	1.890436	1.695124	0.00652291	-0.0169459842145442	0.0529462620615959	574.0	84.0	84.0	42.0	6.709243394500289	1.25	2.5	2.5	2.5	29.405789721904533	8.205971170377575	29.66075134277344	11.80487823486328	180515.0	5.0853657722473145	105.24651794433584	52.812110900878906	2.0768185031418707	83.3421255215313	616.811279296875	611.872802734375	64106.0	487.9067916870117	768.9294586181641	91.19776916503906	59.88199758320116	fetch
60327abe04e712e94a02498b	0.0003927237354085	0.0097120471206225	1	32.766982026210904	1.3235541260156247	0.9937693835156244	0.53717940454282	2587.34033203125	0.1595403537013703	67.0	26.07003891050584	1.6962506666666666	1.58394	1.857764	1.6470479999999998	0.00754258	-0.0178996566683053	0.0534610487520694	257.0	84.0	84.0	42.0	6.746865651391553	1.25	2.5	2.5	2.5	29.200716805897912	8.474485824643896	30.830846786499023	12.038910865783691	181244.0	5.190661430358887	108.08832550048834	57.0885124206543	2.7234865144375595	83.41221069110115	632.864990234375	627.6692504882812	63403.0	502.2389221191406	784.4299438476562	93.03050231933594	61.50107831927016	fetch
60327a8004e712e94a02498a	0.0003455197132616	0.0086921210752688	1	32.099229675755424	1.3233870801798555	0.9963171378417268	0.5380609515219293	2539.037109375	0.1475685110946517	47.0	16.845878136200717	1.6871706666666666	1.57266	1.844836	1.644016	0.00637848	-0.0186404846608638	0.0539394244551658	279.0	84.0	84.0	42.0	6.735728527408317	1.25	2.5	2.5	2.5	29.873609764607338	8.566146701223344	31.176958084106445	12.136200904846191	181254.0	5.222222328186035	109.95358390808111	57.688697814941406	2.711846596910481	83.00454937552695	631.6564331054688	626.7598266601562	63398.0	500.9958892822266	782.7573577880859	93.04930877685548	64.53347707958892	fetch
60327a5e094ee7975e9aa793	0.0003358422939068	0.0082052745878136	1	31.86054250971226	1.3124846793525184	0.9992333897122296	0.5380601328358064	2529.9560546875	0.1496577503578894	53.0	18.99641577060932	1.6874453333333337	1.57436	1.8397	1.648276	0.00444283	-0.0187073182314634	0.0534874871373176	279.0	84.0	84.0	42.0	6.686941270780573	1.25	2.5	2.5	2.5	30.420592396210797	8.550204050128183	31.25410270690918	12.150537490844728	181328.0	5.229390621185303	111.52437095642084	57.94466018676758	2.6872651712964206	83.7697400713084	631.0015869140625	625.7598266601562	63447.0	499.3724090576172	783.8405029296874	93.57864379882812	66.4352898253128	fetch
60327a4404e712e94a024989	0.0003190322580645	0.0091764259139784	1	31.72466697974821	1.3110918224820152	0.9935246548201438	0.5383681367932576	2516.0361328125	0.1459032532119219	40.0	14.336917562724016	1.688212	1.577152	1.838144	1.64934	0.00548923	-0.0190296396613121	0.0536221973598003	279.0	84.0	84.0	42.0	6.6766086579069786	1.25	2.5	2.5	2.5	30.58534178946946	8.560831777231796	31.31742286682129	12.172042846679688	181274.0	5.243727684020996	111.23422622680664	58.00659942626953	2.6539786819250795	83.79892337303374	630.7583618164062	625.5716552734375	63518.0	499.27024841308594	784.2621978759765	93.69528198242188	63.88407354941592	fetch
60327896094ee7975e9aa790	0.0004503225806451	0.008539405985663	1	31.203471156366906	1.3183596630215833	1.0032888634172652	0.5391908095616165	2474.276123046875	0.1403524078065769	32.0	11.469534050179211	1.692824	1.570516	1.853464	1.654492	0.00589066	-0.019463438540697	0.0541757531464099	279.0	84.0	84.0	42.0	6.684812364509518	1.25	2.5	2.5	2.5	31.04877406009242	8.698995764377898	31.57935905456543	12.258064270019531	181221.0	5.250895977020264	112.59140014648438	58.31613540649414	2.611497526886573	83.97153468478909	629.8295288085938	624.7061157226562	63583.0	498.8860321044922	783.4835266113281	93.45082092285156	66.0586370669771	fetch
60327854094ee7975e9aa78f	0.0003598201438848	0.0087271371223021	2	30.737958914909743	1.306844970072203	1.0049382618411558	0.540057584595465	2429.166015625	0.1353828997718522	28.0	10.071942446043163	1.686876	1.566872	1.8492	1.644556	0.00472517	-0.0193949043750762	0.0541675612330436	278.0	84.0	84.0	42.0	6.714817773176389	1.25	2.5	2.5	2.5	32.27331254420191	8.746286428193633	31.63248634338379	12.327338218688965	180951.0	5.273381233215332	112.0431671142578	58.597900390625	2.690278869951255	83.68173771184206	629.2246704101562	623.651123046875	63748.0	499.4689010620117	782.1376190185546	92.8761215209961	65.86090517113917	fetch
