bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-164_T1w	0.359003074	3.622746271	0.569597251	15378.63867	2.89832801	2.999230547	2.951006815	2.744746667	0.154589607	0.461485274	0.38392512	0.992201746	0.105022538	0.000630929	0.028327921	19.5601128	7.725379634	10.87803	176	240	161	1.50842133	9.867063464	11.09158697	21.8992761	24.89813876	54.94955852	52.96872238	79.05846985	0.999996483	1.0546875	1.0546875	6.069006206	8.286771774	6.292174339	5.645191193	1816458	0	16.89789009	6.222164631	38.56534703	149.7660828	358.2580566	314.9347229	6357	163.5773224	598.6577393	208.7678986	0.187645417	66.46019745	696.480957	695.0529175	30763	582.7247864	818.1115417	70.44057465	0.54061334	43.01845169	1000.015686	1000.004761	191050	925.3384857	1074.716071	45.66370773	0.229109496	0.526587069	0.557107449	0.412781437
sub-166_T1w	0.366012929	3.543880843	0.566259912	17021.88281	2.911821569	3.015713595	3.026375111	2.693376	0.185804209	0.449991466	0.364204326	1.284865856	0.117607015	6.97E-05	0.021397579	18.01507952	8.393706307	12.45069814	176	240	161	2.586535408	9.027946994	11.4141414	22.62794179	28.44035179	61.62609521	59.91225854	89.67032862	0.999998808	1.0546875	1.0546875	437.5684323	7.306078911	5.899950981	4.979516983	1940676	0	15.08835149	6.35252285	1.272769108	132.8886719	327.0640259	317.1667175	9197	159.0085297	536.2467163	122.6155548	0.074716179	73.29220581	688.2509766	687.2540283	20472	563.0036377	816.7848114	76.1233139	0.685079918	41.17804718	999.6392822	1000.003235	159615	926.6523926	1070.960059	44.19315338	0.223429471	0.515008986	0.551721215	0.48331446
sub-168_T1w	0.363662068	3.591828695	0.539151649	16420.76758	2.986138247	3.08641	3.070264889	2.801739852	0.179309024	0.434849342	0.385841634	1.634507656	0.138273793	9.80E-05	0.009171962	20.18539951	9.401955261	13.0259273	176	240	161	2.54132253	9.131549439	11.90004519	24.02726359	29.57393788	62.18859641	60.6832197	90.28712481	1	1.0546875	1.0546875	3800.159131	7.256118298	6.052393436	4.894177437	1782639	0	19.36392403	9.265299797	0.261905281	151.9451904	341.4159546	327.5531616	6810	165.2687912	553.803772	128.8813629	0.020733139	73.45916748	687.5708618	688.7845459	19628	559.4670349	810.7922638	75.42717743	0.480940896	39.71680069	1000.125732	999.99646	164515	932.3103394	1068.471997	41.61911392	0.241616249	0.521694541	0.584653616	0.505672998
sub-169_T1w	0.396936922	3.212272689	0.562889721	12782.10449	2.952163735	3.041327946	3.032433778	2.782729481	0.214947949	0.401806016	0.383246035	0.965237617	0.10562185	0.005914754	0.006334263	16.48858063	9.075548971	11.99094843	176	240	161	3.324489538	10.3170171	11.63190122	21.25419701	32.19844568	52.39843545	52.26082401	72.18559089	0.999994099	1.0546875	1.0546875	2582.888155	9.076040268	8.029972076	6.135050774	1862176	0	24.43031073	10.88290405	-0.414738527	125.9714661	420.3458557	446.0664978	8669	177.6189117	611.8176758	134.1681976	0.53899705	64.09096527	729.0751953	725.9104004	10081	617.5960693	854.1740723	70.35700226	0.55646852	44.71922302	1001.664063	1000.035034	174500	927.7541656	1080.992322	47.05104446	0.200786099	0.482545704	0.553399861	0.42178559
sub-170_T1w	0.355537871	3.580612398	0.560550787	27932	2.845978016	2.924242789	2.986827852	2.626863407	0.186178152	0.424279568	0.38954228	0.905251503	0.086208493	0.009690741	0.063935118	16.53349118	8.012741663	10.90064181	176	240	161	1.900187617	9.074937368	11.91107837	24.75811012	38.78568035	78.94536796	77.32224868	114.2356977	0.999999046	1.0546875	1.0546875	4.300210383	5.734926224	3.764537573	3.879653931	1542743	0	11.57922983	3.686700106	24.87247401	152.3807068	359.1811523	339.521698	9070	156.5019676	564.9866852	178.6681366	0.200094836	72.51824188	689.0372314	691.071167	16530	558.991153	814.0359741	76.14931488	0.795186741	37.31598663	999.5845337	999.9953003	192891	932.9720154	1064.416748	40.39051056	0.224789619	0.505314648	0.563346326	0.479670252
sub-171_T1w	0.35837953	3.654309798	0.508616223	13625.93457	2.688773401	2.775577684	2.819915852	2.470826667	0.176019712	0.462086724	0.361893563	1.222461939	0.092414641	0.000290048	0.021325623	23.4834259	10.07936648	14.86195552	176	240	161	1.225410074	10.56849591	10.81326415	20.64588645	21.14458744	54.25299484	50.98822313	77.56708709	1.000000834	1.0546875	1.0546875	20.09489738	8.446077347	6.095797062	5.749679565	1891986	0	17.18118668	6.278512001	47.25486589	138.5872498	322.5411682	272.5979309	4733	137.959787	551.7668701	222.430954	0.265608535	61.87561417	702.2123413	699.4345093	15062	594.8380249	816.3347412	66.17888641	0.435291395	45.84158325	999.1112671	1000.001892	119705	917.5559814	1076.894775	48.43568802	0.223286986	0.522799015	0.556004941	0.453077651
sub-172_T1w	0.356448211	3.678438355	0.593247536	21239.13477	2.893494351	2.993528386	2.983803259	2.703151407	0.171664116	0.448322472	0.380013413	1.202598214	0.10902313	0.000132236	0.029547377	15.59880947	6.856450916	9.760307962	176	240	161	1.348919847	9.868175843	11.80970264	24.21201223	28.06201412	65.19883087	62.21941754	93.39740763	0.999997199	1.0546875	1.0546875	9.20850755	7.014459133	5.148788929	4.753519535	1753553	0	14.25679951	5.198450089	44.04100968	143.2260895	356.2628784	300.4562988	6701	159.0424042	633.0455322	222.721817	0.080276259	68.58506012	699.1764526	698.0753174	23812	584.76922	820.0770569	70.73857117	0.565162731	39.03323364	999.7412109	999.9937744	216137	931.8926392	1066.85061	41.30146027	0.213147625	0.495870262	0.527353764	0.461780447
sub-173_T1w	0.341045099	3.844748221	0.530052598	20796.33984	2.762843646	2.872879383	2.873618963	2.542032593	0.166818257	0.465512331	0.367669412	1.384569645	0.153534603	8.39E-05	0.010830102	23.17022154	9.606079369	14.23067601	176	240	161	0.820489076	9.453334337	11.29597029	23.61408745	30.51089819	69.65313867	67.73594626	103.0438019	1.000003695	1.0546875	1.0546875	3554.488287	6.357786179	5.12895298	4.288261414	1719372	0	13.20355883	14.05724525	16.06944425	126.781723	390.0844421	296.0937195	3503	155.5655228	1027.175348	360.8231506	0.067498674	70.73154449	677.1838379	675.9505005	14629	559.6719116	795.6305176	71.5014801	0.806509395	39.78086853	999.7155151	999.9909668	132928	930.157251	1067.542316	42.34706116	0.218340799	0.521459579	0.552373588	0.507503236
sub-176_T1w	0.366819582	3.468099063	0.531224583	15704.88477	2.638528376	2.822702166	2.664248889	2.428634074	0.191071731	0.434829468	0.374098801	0.701891482	0.059649062	0.000164045	0.040161078	20.6391602	9.910257989	14.03725016	176	240	161	4.039692701	10.79346316	12.42113609	22.43025242	39.08835349	58.33464206	59.45051583	80.92855195	1.000006318	1.0546875	1.0546875	68.53219599	8.095309258	5.963190556	5.557542324	1886667	0	16.54400768	5.769120216	22.24662754	88.97450256	462.4262695	483.0021973	2421	237.6273804	609.7987671	119.5393982	0.548219049	60.34980392	722.1673584	720.8223877	9077	612.1574585	836.5513916	66.77955627	0.627680749	42.06096649	1000.132874	1000.008057	135035	927.4941711	1072.554443	44.58283997	0.195531994	0.509166479	0.56838268	0.447612301
sub-177_T1w	0.332242185	3.81136848	0.515798432	11789.00098	3.039115338	3.046429274	3.168350815	2.902565926	0.189694386	0.452404609	0.357901005	0.767816961	0.077467966	0.001742179	0.019998152	19.5283581	9.252113792	14.17146787	176	240	161	1.61247819	10.24299843	11.97395027	24.06637418	20.17433252	49.56140812	47.16294056	71.75308104	1.000000238	1.0546875	1.0546875	4238.680107	9.130493164	7.554175377	6.207853317	2195234	0	18.70125465	17.64051819	37.68106463	143.026001	320.3985901	281.1652832	6183	145.9006699	545.3491638	174.3543243	0.209576442	63.86175156	690.104248	690.7265625	15961	576.2749023	802.7778931	67.43190765	0.598461202	38.89428329	999.3574829	1000.00708	137976	930.038681	1066.144196	41.55189514	0.22451748	0.524249196	0.555857062	0.453456481
