bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-171_task-russian_run-01_bold	0.001790879	0.005240972	0	21.29426163	1.437078957	1.021197679	0.420998105	11496.25488	0.067402705	0	0	2.319502323	2.246902774	2.696911693	2.0146925	0.0285977	-0.015116386	0.016550789	182	72	60	36	5.328600858	2	3.361111164	3.361111164	4	53.04006758	2.166880369	8.687829971	3.329670429	100401	1.252747297	30.97252846	19.82608604	5.418635967	48.06240845	369.88974	374.3818665	24204	253.6104454	464.0870972	70.25749207	91.11853027
sub-171_task-russian_run-02_bold	0.001700495	0.005556828	0	25.42405429	1.557538126	1.016053716	0.421525522	11318.88281	0.083717481	0	0	2.321481145	2.248259469	2.700838966	2.015345	0.0168449	-0.015495723	0.017241538	182	72	60	36	5.347498401	2	3.361111164	3.361111164	4	54.87082143	2.191318989	8.5870924	3.346153975	100269	1.252747297	30.55824203	19.27135277	5.403273205	48.25384521	369.085968	373.3214417	24256	253.2321472	462.8434219	69.81091309	89.13526154
sub-171_task-russian_run-03_bold	0.001453315	0.007035233	1	25.77069381	1.537453458	0.997663594	0.421985902	11187.29004	0.098410053	2	1.104972376	2.318440676	2.24302013	2.7024069	2.009895	0.0192035	-0.015263426	0.017869156	181	72	60	36	5.366506339	2	3.361111164	3.361111164	4	54.7860491	2.236190081	8.627656937	3.353591204	100266	1.237569094	31.00414467	19.29788971	5.368366204	48.25420761	368.1451416	372.3701782	24266	253.4820518	461.2320557	69.38639069	76.112854
sub-171_task-russian_run-04_bold	0.001397033	0.00630003	0	24.96734773	1.516771493	1.00767331	0.422095352	11122.74023	0.09292921	3	1.648351648	2.31064892	2.237248229	2.692431032	2.0022675	0.0232642	-0.015320705	0.017904334	182	72	60	36	5.413400166	2	3.361111164	3.361111164	4	54.77278342	2.19131875	8.65853405	3.357142925	100226	1.258241773	30.83928633	19.54003906	5.311665456	48.24972534	368.1980591	372.3626404	24267	253.310994	461.1807861	68.78393555	83.67636871
sub-172_task-russian_run-01_bold	0.004866593	0.009554739	0	17.53217803	1.215987609	0.99815164	0.497084582	9923.801758	0.094039884	2	1.098901099	2.309549485	2.21335732	2.657918636	2.0573725	0.0119621	-0.014290552	0.028697472	182	72	60	36	5.798881021	2	3.361111164	3.361111164	4	31.62628431	2.891888857	13.47352219	4	88782	1.571428657	61.46126556	28.42572784	5.395855316	51.66299438	416.4943848	421.164856	33422	293.6431274	512.9664917	72.62755585	67.25615692
sub-172_task-russian_run-02_bold	0.001604341	0.006605571	0	18.37504787	1.252914372	1.010898713	0.49781772	10006.06543	0.102932483	6	3.296703297	2.310972295	2.211958973	2.660465413	2.0604925	0.0293043	-0.014210983	0.030956155	182	72	60	36	5.748864729	2	3.361111164	3.361111164	4	35.86841386	2.843012094	13.7187891	3.978022099	88640	1.626373649	62.46758289	29.60215569	5.539970623	51.4185791	416.5133057	421.7307739	33519	291.79617	513.3104309	73.35787201	74.84450531
sub-172_task-russian_run-03_bold	0.001022143	0.006195681	0	18.01060414	1.235558519	1.008161348	0.498322014	9879.671875	0.092665343	6	3.296703297	2.321238101	2.228075667	2.666918636	2.06872	0.0274618	-0.014293296	0.030447399	182	72	60	36	5.719100136	2	3.361111164	3.361111164	4	32.72412706	2.891888857	13.8493042	4.021977901	88652	1.648351669	63.8565958	29.33162689	5.635838323	51.56521988	417.4899597	422.5714417	33585	292.289032	514.1989136	73.88665009	77.8152771
sub-172_task-russian_run-04_bold	0.001446758	0.00793071	0	19.81705705	1.249782835	0.996988072	0.499324078	9737.292969	0.134166923	20	10.98901099	2.327252646	2.232987733	2.677650206	2.07112	0.0422549	-0.014808767	0.031279683	182	72	60	36	5.728744663	2	3.361111164	3.361111164	4	33.55139743	2.932620287	14.11089134	4.049450874	88617	1.648351669	65.12637329	30.10846519	5.652774144	51.35749817	417.0914001	422.1758423	33628	291.2568665	513.1769409	73.69320679	69.18373871
sub-172_task-wb2_run-01_bold	0.00114314	0.021695351	0	27.05280453	1.167103574	0.913294928	0.56357266	2317.6875	0.127653205	15	8.720930233	2.235833789	2.067137072	2.378984294	2.26138	0.00474249	0.026115507	-0.000920631	172	66	74	45	5.958384093	2.599999905	3.02702713	3.02702713	3	19.27213295	7.947437763	27.68337631	9.348836899	120436	2.837209225	127.5712185	48.39809799	4.062092673	65.2517395	462.2917786	463.4680176	56660	347.848555	575.6453247	77.78349304	46.06112671
sub-172_task-wb2_run-02_bold	0.001699593	0.006842039	0	26.65202864	1.331784259	1.007453316	0.560972362	3466.900635	0.073245213	2	1.162790698	2.253080405	2.061438412	2.45795947	2.239843333	0.0145187	-0.013281557	0.043871112	172	74	66	45	5.794211135	2.599999905	3.02702713	3.02702713	3	15.94831461	5.469250679	26.11283493	7.465116024	120860	3.029069662	125.0186035	47.17470932	4.819092066	65.06640625	464.2825012	466.058136	56934	349.4648178	578.0331329	80.43442535	70.80003357
